,cik
GRMN,0001121788
CDNS,0000813672
ALGN,0001097149
DOV,0000029905
TIF,0000098246
TJX,0000109198
AIZ,0001267238
PNR,0000077360
RHI,0000315213
CVX,0000093410
GPN,0001123360
AVY,0000008818
AIG,0000005272
WRK,0001732845
ADS,0001101215
BKR,0001701605
CMI,0000026172
MSCI,0001408198
LKQ,0001065696
PEAK,0000765880
CTXS,0000877890
FANG,0001539838
HLT,0001585689
FIS,0001136893
ALLE,0001579241
MDLZ,0001103982
DLTR,0000935703
TFX,0000096943
SYK,0000310764
CPRT,0000900075
STX,0001137789
REG,0000910606
PH,0000076334
ABBV,0001551152
TWTR,0001418091
WLTW,0001140536
MS,0000895421
FTNT,0001262039
INTC,0000050863
STT,0000093751
PKI,0000031791
CINF,0000020286
CME,0001156375
SLB,0000087347
NCLH,0001513761
ZBH,0001136869
ITW,0000049826
ES,0000072741
TSN,0000100493
BLL,0000009389
AMGN,0000318154
TFC,0000092230
UDR,0000074208
EQIX,0001101239
MYL,0001792044
LMT,0000936468
ZTS,0001555280
COTY,0001024305
ORCL,0001341439
ACN,0001467373
SJM,0000091419
DIS,0001744489
VFC,0000103379
WYNN,0001174922
ANTM,0001156039
RJF,0000720005
UNM,0000005513
PFG,0001126328
PEP,0000077476
JBHT,0000728535
NWSA,0001564708
JNJ,0000200406
TROW,0001113169
AAP,0001158449
CMCSA,0001166691
XEC,0001168054
ECL,0000031462
EVRG,0001711269
PNC,0000713676
MO,0000764180
HIG,0000874766
CDW,0001402057
PRU,0001137774
MCD,0000063908
HBAN,0000049196
STZ,0000016918
PVH,0000078239
ALXN,0000899866
KMX,0001170010
C,0000831001
IQV,0001478242
CNC,0001071739
LEN,0000920760
COP,0001163165
FDX,0001048911
HOG,0000793952
SWK,0000093556
TSCO,0000916365
NFLX,0001065280
SBUX,0000829224
WEC,0000783325
FLIR,0000354908
AAL,0000006201
L,0000060086
NVR,0000906163
IRM,0001020569
DISH,0001001082
AVGO,0001730168
MMM,0000066740
MLM,0000916076
ABT,0000001800
TXT,0000217346
ABC,0001140859
DHI,0000882184
BRK,0001067983
ETR,0000065984
K,0000055067
ANSS,0001013462
LUV,0000092380
OKE,0001039684
ALB,0000915913
INCY,0000879169
IVZ,0000914208
CTAS,0000723254
STE,0001757898
ETFC,0001015780
KSS,0000885639
VAR,0000203527
EMR,0000032604
BA,0000012927
RMD,0000943819
MAA,0000912595
XEL,0000072903
NOV,0001021860
HPQ,0000047217
PEG,0000788784
WBA,0001618921
ZION,0000109380
